Titolo;URL album;URL pubblico;Data da;Data a;Collabora attivo;Modificato;Stato
Andalusia 2023 - 04 - Almeria;https://photos.google.com/album/AF1QipNCZO9EXkOfnOaRHoibcvmpDP3-I0hW8-cNkqYT;;;;;NO;Non condiviso
Andalusia 2023 - 03 - Cartagena;https://photos.google.com/album/AF1QipP7y8os_TY3HA-uZvez2mrqRYwBF3yP-mYAsHs9;;;;;NO;Non condiviso
Andalusia 2023 - 02 - Guadix;https://photos.google.com/album/AF1QipPVqL6MW1CTA8Czu_fxUDXEIPl2ER57eM5zsj65;;;;;NO;Non condiviso
Andalusia 2023 - 01 - Malaga;https://photos.google.com/album/AF1QipNk7CF2qg3FzdtMPkD-OIbkdIpmLQl2cRdaw1Ws;;;;;NO;Non condiviso
43° Artevento Cervia Festival Internazionale dell'Aquilone;https://photos.google.com/share/AF1QipMdeEt8JtT38Rl5mX7VjVsbRvnsfM12eYSgHgl6qROiCOOZe0c-VnLN1j7GDDe4jQ?key=WFdLTTRHUEtDVHhORkdpVWxjeUdNREI0aEwwcVNn;https://photos.app.goo.gl/zkgQq9miaJWdq4B76;23/04/2023;23/04/2023;NO;NO;Condiviso - Collabora disattivato
Conio d'autore papà (Guttuso, Gentini, Baj);https://photos.google.com/album/AF1QipPk869aCAQORGqg9-1kMqWN_EKHVgIdV0ea7kLP;;;;;NO;Non condiviso
Monete papà;https://photos.google.com/album/AF1QipMG0aQ6e0-aWGqR8u1b6wUE2wS7tqbvLfSOa7ET;;;;;NO;Non condiviso
Chitarra Yamaha FG-451S;https://photos.google.com/share/AF1QipNJdcT2bx-HryUyQEEhI2uP1dPiv0Mymei1p6zu849awAu0fQPGlTfh7k9MeEVybQ?key=SmxUXzVsVFJ4TkdxWWVnbjYydEc2dzNVeWpnODV3;https://photos.app.goo.gl/VhCfW4cGDXoLjjq77;03/06/2022;31/01/2023;NO;NO;Condiviso - Collabora disattivato
Calendario 2023;https://photos.google.com/share/AF1QipO34wyc6s6SeN1HV8qr3eOT_AYIlCK8YDbXgf4nBhwCUVUE68j1TlBiq-x-WznNsg;;15/01/2022;10/09/2022;NO;NO;Condiviso - Collabora disattivato
Roussilion (Sentiero delle ocre), Valensole;https://photos.google.com/share/AF1QipMFl8bs3cjct_5tNC_sDSm9OskHSV-ypyVlG-BY0c71RHQbuPfuBFejMYRSK2fH9Q?key=WDRYbG1UanJ5bFU0eVppVDI0YjR3ZnZmb1JMSmVn;https://photos.app.goo.gl/QT9pH8bEgsSTTt8n7;07/07/2022;07/07/2022;NO;NO;Condiviso - Collabora disattivato
Carcassone, Abbazia di Senanque, Roussillon;https://photos.google.com/share/AF1QipPwMiaVfzmOTWmxizAazOQzSBaD8LcaJ_Xo64XyOnMSj4gUarWj8JFnPV1Tx-bYTQ?key=UjdGMllwQzhYcFJ2cW1JLW1oUVhycnd3NW9PanNB;https://photos.app.goo.gl/iuqeN62hCRXzJTNZ6;05/07/2022;06/07/2022;NO;NO;Condiviso - Collabora disattivato
Bilbao e dintorni;https://photos.google.com/share/AF1QipPofok4jSQNsO7_hTw2Vyc2sS8B0siVG0sbcPAnjSVhpHkvFVEKKPfdaZ1Yq_YYUw?key=RkJaR2ZFc0NoaDE3dnJJQUEyQkpxS2JzMEhJZVRB;https://photos.app.goo.gl/yn21iUBceHGgKs6Y6;04/07/2022;04/07/2022;NO;NO;Condiviso - Collabora disattivato
San Sebastian & Bilbao;https://photos.google.com/share/AF1QipO1kRbt9eVLLVyG_qauqNsDqbCcBEgG6osFUR_HK2Alq0FhGk7SzgjKHswSuF2JIA?key=RTIxbDQ4Y3hkMmc1RnRaeEluMUluQmxETU1zc3pB;https://photos.app.goo.gl/58srAP1eSR7aLxjB8;03/07/2022;03/07/2022;NO;NO;Condiviso - Collabora disattivato
Biarritz e dintorni;https://photos.google.com/share/AF1QipNMC_pBpUa29fc9-3C4r3Ltw1kQGHQuPfUssiLmeG6Igas9PP3UzrnWKhFxkAUkOQ?key=NFkzaUFCbU1KMnJuVXNmZ1FtTWR6ODI2ZDRqbFhB;https://photos.app.goo.gl/KzD8S3eVFrt1ywvP7;02/07/2022;02/07/2022;NO;NO;Condiviso - Collabora disattivato
Duna Pilat, Bayonne, Biscarrosse Plage, Biarritz;https://photos.google.com/share/AF1QipPvHGNsFwGkZCwN_1KNIJKkzU7v3EwcVToA1ImW-vDPQ_cVJx4WLCPcrp_8SGAAPg?key=Wk80ck1jeGlzNmhvTF8zV3dBTXVjbjMxNzhnQlFn;https://photos.app.goo.gl/X1ykRbkhcYgMDn966;01/07/2022;01/07/2022;NO;NO;Condiviso - Collabora disattivato
Bordeaux;https://photos.google.com/share/AF1QipNavvoZZUkoo1LAKtg435MsM2QYZx9ecyFRohOIpVyEY2_4_CV4JPaPQomTINwLsg?key=cWI5VDFxVXgzd1RaYWkzSGMwcmNkbENGZ3dQV0Zn;https://photos.app.goo.gl/QFnV3AJW2jh3gU6n7;29/06/2022;30/06/2022;NO;NO;Condiviso - Collabora disattivato
Il bacino di Arcachon;https://photos.google.com/share/AF1QipPydb19P-q_koaZ6fpZZE-BoycJYK6GZW0acW1U_Zq5bSWFSBxGCQNvGufbikjXqA?key=Y0c0eUJpTDRGdzdCWjMwRWRiSk9VNGZrazduQVd3;https://photos.app.goo.gl/d8tnwmnC4SsPDmGp8;15/06/2022;29/06/2022;NO;NO;Condiviso - Collabora disattivato
La Rochelle e altro;https://photos.google.com/share/AF1QipNJeZLKC73qlff6zYanGgJbzyUdmRuuqrWpZSgr9vPPFoV7GCj0WHVhKfgKQOZOIA?key=Zk9zdy1VSWJuYUlXWVJfQlVZUDlBbkZpUGFaMWZn;https://photos.app.goo.gl/fwKmKctYpT3aHhpy7;28/06/2022;28/06/2022;NO;NO;Condiviso - Collabora disattivato
Grenoble, Limoges, Île de Ré;https://photos.google.com/share/AF1QipO0VXJTqyHM2Sy_yIKO7foqdU_nqYkQNnVN168WJiHdArFjMQcyo40xZtUNWUUVlw?key=bVEwbU5idktVbmtLSlRwTHJOYkptcFpYSEE5eFBR;https://photos.app.goo.gl/7rGtHERy9327W6he6;25/06/2022;27/06/2022;NO;NO;Condiviso - Collabora disattivato
Chitarra #4 Koa;https://photos.google.com/share/AF1QipPEMXeXF8TExvPFDZtNdm8So3Cn5KxD9XA0oy7KAbvoYv9865drZi5IdsvGHH-I9Q?key=ZTYwaFU1c2ZBeXFBWVYyQzVIRVJvSWdSbDdDS1VR;https://photos.app.goo.gl/Qz8CMxJzZCSbC6VP7;10/10/2019;30/05/2022;NO;NO;Condiviso - Collabora disattivato
Papà;https://photos.google.com/album/AF1QipMeRyLiCaGLDej5qrAa87LZcACWiTzalE361jxv;;;;;NO;Non condiviso
Oasi di Canneviè;https://photos.google.com/share/AF1QipOb9cB1OolN5IYc5a84RDiMBvn8lHzCMXwCzU71qut0PmtiKGakVDOTpJdIqX5uQA?key=Q2swNWZ5TXE1cllxNVMwV3J3TXhjNkpfOS04Z0F3;https://photos.app.goo.gl/ooct7PqATtDVE28LA;27/11/2021;27/11/2021;NO;NO;Condiviso - Collabora disattivato
Calendario 2022;https://photos.google.com/album/AF1QipPAOKi2XcRWImeU5yQHWjq0jZnanSYMbefnT8iw;;;;;NO;Non condiviso
